         4339127 function calls (4278794 primitive calls) in 1.230 seconds

   Ordered by: cumulative time
   List reduced from 76 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7652    0.003    0.000    0.023    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:367(clear)
    42588    0.003    0.000    0.003    0.000 {built-in method time.monotonic}
     7652    0.002    0.000    0.003    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:3034(_check_size)
    13493    0.002    0.000    0.006    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:637(_ensure_mutable)
    24883    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    20406    0.002    0.000    0.002    0.000 {built-in method builtins.round}
    22392    0.002    0.000    0.002    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:543(__init__)
     2550    0.002    0.000    0.046    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:1589(_paintScrolledWidget)




==== Performance Summary ====
Average sequence size: 258.0 frames
Average sequence generation time: 0.124s
Average render rate: 2083.5 frames per second
Average time per frame: 0.48ms
Estimated memory usage for sequence: 0.50 MB
