         2644282 function calls (2602705 primitive calls) in 15.040 seconds

   Ordered by: cumulative time
   List reduced from 3068 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8533    0.015    0.000    0.040    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:1761(paste)
      429    0.015    0.000    0.015    0.000 {method 'new_block' of 'ImagingCore' objects}
  430/429    0.013    0.000    0.205    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/ImageTk.py:99(__init__)
      156    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
    20228    0.011    0.000    0.019    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:342(_computeLocalDB)
   119878    0.011    0.000    0.011    0.000 {built-in method builtins.isinstance}
1127/1095    0.010    0.000    0.043    0.000 {built-in method builtins.__build_class__}
    95908    0.010    0.000    0.012    0.000 {built-in method builtins.getattr}
       10    0.010    0.001    0.010    0.001 {built-in method _imp.create_dynamic}
      429    0.009    0.000    3.582    0.008 /Users/rritchey/Development/KegDisplay/KegDisplay/display/virtual_display.py:57(display)
     5941    0.008    0.000    0.035    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:541(_place)
      538    0.008    0.000   30.037    0.056 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/base_events.py:1960(_run_once)
    11642    0.008    0.000    0.011    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:571(_new)
    37049    0.008    0.000    0.008    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:394(active)
      429    0.007    0.000    0.007    0.000 {method 'convert2' of 'ImagingCore' objects}
     8533    0.007    0.000    0.007    0.000 {method 'paste' of 'ImagingCore' objects}
     4985    0.007    0.000    0.023    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:3053(new)
     4985    0.007    0.000    0.007    0.000 {built-in method PIL._imaging.fill}
    49/47    0.006    0.000    0.006    0.000 {method 'acquire' of '_thread.lock' objects}
    34718    0.006    0.000    0.010    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:885(load)
     3915    0.006    0.000    0.038    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:940(convert)
     3356    0.006    0.000    0.017    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:772(tobytes)
    32823    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
    21925    0.006    0.000    0.007    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/collections/__init__.py:1013(__getitem__)
6736/1690    0.005    0.000    0.525    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/collection.py:183(_render)
55560/55371    0.005    0.000    0.005    0.000 {built-in method builtins.len}
    19509    0.005    0.000    0.005    0.000 {built-in method time.time}
   112442    0.005    0.000    0.005    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/PIL/Image.py:563(size)
    343/7    0.005    0.000    0.131    0.019 {built-in method builtins.exec}
     1460    0.005    0.000    0.013    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:1554(_computeShadowPlacements)
    20216    0.005    0.000    0.009    0.000 /Users/rritchey/Library/Caches/pypoetry/virtualenvs/kegdisplay-LBrQDqVU-py3.13/lib/python3.13/site-packages/tinyDisplay/render/widget.py:463(_updateTimers)
      429    0.004    0.000    0.004    0.000 {method 'split' of 'ImagingCore' objects}


